dataset,fastme,heuristic,gap,exact,nj,time,tree_path,diameter_fastme,diameter_heuristic,pair_changed,proportion,extrema,avg_change
01-Primates12,0.19594466640625002,0.19594466640625002,-0.0,true,true,3,data/01-Primates12/experimentc1r1/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
01-Primates12,0.19594466640625002,0.19594466640625002,-0.0,false,true,3,data/01-Primates12/experimentc0r1/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
01-Primates12,0.19594466640625002,0.19594466640625002,-0.0,true,false,3,data/01-Primates12/experimentc1r0/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
01-Primates12,0.19594466640625002,0.19594466640625002,-0.0,false,false,3,data/01-Primates12/experimentc0r0/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
02-M17,0.15860070835937506,0.15860070835937506,-0.0,true,true,3,data/02-M17/experimentc1r1/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
02-M17,0.15860070835937506,0.15860070835937506,-0.0,false,true,3,data/02-M17/experimentc0r1/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
02-M17,0.15860070835937506,0.15860070835937506,-0.0,true,false,3,data/02-M17/experimentc1r0/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
02-M17,0.15860070835937506,0.15860070835937506,-0.0,false,false,3,data/02-M17/experimentc0r0/tree.nwk,9,9,0,0.0,"(0, 0)",NaN
03-M18,0.2519759761328124,0.2518810735156249,-0.00037663359278949926,true,true,3,data/03-M18/experimentc1r1/tree.nwk_2,10,10,96,0.6274509803921569,"(-3, 3)",-0.052083333333333336
03-M18,0.2519759761328124,0.2518810735156249,-0.00037663359278949926,false,true,3,data/03-M18/experimentc0r1/tree.nwk_2,10,10,96,0.6274509803921569,"(-3, 3)",-0.052083333333333336
03-M18,0.2519759761328124,0.2518810735156249,-0.00037663359278949926,true,false,3,data/03-M18/experimentc1r0/tree.nwk_1,10,10,96,0.6274509803921569,"(-3, 3)",-0.052083333333333336
03-M18,0.2519759761328124,0.2518810735156249,-0.00037663359278949926,false,false,3,data/03-M18/experimentc0r0/tree.nwk_1,10,10,96,0.6274509803921569,"(-3, 3)",-0.052083333333333336
04-SeedPlants500,2.34625086897285,2.3445180053407015,-0.0007385670710085002,true,true,60,data/04-SeedPlants500/experimentc1r1/tree.nwk_1113,60,58,82275,0.6595190380761523,"(-11, 11)",0.9301367365542388
04-SeedPlants500,2.34625086897285,2.3458252508818456,-0.0001814034878507842,false,true,60,data/04-SeedPlants500/experimentc0r1/tree.nwk_698,60,59,69807,0.5595751503006012,"(-10, 9)",0.6480009168135
04-SeedPlants500,2.34625086897285,2.3444833020578133,-0.0007533580225419501,true,false,60,data/04-SeedPlants500/experimentc1r0/tree.nwk_1077,60,57,90466,0.7251783567134269,"(-8, 9)",0.4942298764176597
04-SeedPlants500,2.34625086897285,2.3431422498499277,-0.0013249304087773472,false,false,60,data/04-SeedPlants500/experimentc0r0/tree.nwk_960,60,46,112979,0.9056432865731463,"(-18, 33)",4.949202949220652
05-M43,0.3521695252302241,0.3521695252302241,-0.0,true,true,15,data/05-M43/experimentc1r1/tree.nwk,15,15,0,0.0,"(0, 0)",NaN
05-M43,0.3521695252302241,0.3521695252302241,-0.0,false,true,15,data/05-M43/experimentc0r1/tree.nwk,15,15,0,0.0,"(0, 0)",NaN
05-M43,0.3521695252302241,0.3521695252302241,-0.0,true,false,15,data/05-M43/experimentc1r0/tree.nwk,15,15,0,0.0,"(0, 0)",NaN
05-M43,0.3521695252302241,0.3521695252302241,-0.0,false,false,15,data/05-M43/experimentc0r0/tree.nwk,15,15,0,0.0,"(0, 0)",NaN
06-M62,0.6808473503033444,0.6808473503033444,-0.0,true,true,15,data/06-M62/experimentc1r1/tree.nwk,19,19,0,0.0,"(0, 0)",NaN
06-M62,0.6808473503033444,0.6808473503033444,-0.0,false,true,15,data/06-M62/experimentc0r1/tree.nwk,19,19,0,0.0,"(0, 0)",NaN
06-M62,0.6808473503033444,0.6808473503033444,-0.0,true,false,15,data/06-M62/experimentc1r0/tree.nwk,19,19,0,0.0,"(0, 0)",NaN
06-M62,0.6808473503033444,0.6808473503033444,-0.0,false,false,15,data/06-M62/experimentc0r0/tree.nwk,19,19,0,0.0,"(0, 0)",NaN
07-RbcL55,0.49572125261278843,0.49572125261278843,-0.0,true,true,15,data/07-RbcL55/experimentc1r1/tree.nwk,26,26,0,0.0,"(0, 0)",NaN
07-RbcL55,0.49572125261278843,0.49572125261278843,-0.0,false,true,15,data/07-RbcL55/experimentc0r1/tree.nwk,26,26,0,0.0,"(0, 0)",NaN
07-RbcL55,0.49572125261278843,0.49572125261278843,-0.0,true,false,15,data/07-RbcL55/experimentc1r0/tree.nwk,26,26,0,0.0,"(0, 0)",NaN
07-RbcL55,0.49572125261278843,0.49572125261278843,-0.0,false,false,15,data/07-RbcL55/experimentc0r0/tree.nwk,26,26,0,0.0,"(0, 0)",NaN
08-Rana64,0.23970439597240425,0.23970439597240425,-0.0,true,true,15,data/08-Rana64/experimentc1r1/tree.nwk,20,20,0,0.0,"(0, 0)",NaN
08-Rana64,0.23970439597240425,0.23970439597240425,-0.0,false,true,15,data/08-Rana64/experimentc0r1/tree.nwk,20,20,0,0.0,"(0, 0)",NaN
08-Rana64,0.23970439597240425,0.23970439597240425,-0.0,true,false,15,data/08-Rana64/experimentc1r0/tree.nwk,20,20,0,0.0,"(0, 0)",NaN
08-Rana64,0.23970439597240425,0.23970439597240425,-0.0,false,false,15,data/08-Rana64/experimentc0r0/tree.nwk,20,20,0,0.0,"(0, 0)",NaN
09-M82,0.32700905010645887,0.3263426426271484,-0.0020378869609067873,true,true,60,data/09-M82/experimentc1r1/tree.nwk_903,27,26,2691,0.8102981029810298,"(-11, 13)",1.5949461166852472
09-M82,0.32700905010645887,0.3268590797067631,-0.0004586123828895783,false,true,60,data/09-M82/experimentc0r1/tree.nwk_224,27,25,2516,0.7576031315868714,"(-8, 11)",2.2341017488076313
09-M82,0.32700905010645887,0.3263672593796012,-0.001962608455786552,true,false,60,data/09-M82/experimentc1r0/tree.nwk_851,27,27,2299,0.692261367058115,"(-10, 12)",1.6098303610265332
09-M82,0.32700905010645887,0.326426349088876,-0.0017819109819533496,false,false,60,data/09-M82/experimentc0r0/tree.nwk_42,27,24,2834,0.8533574224631135,"(-11, 14)",1.5215243472124207
RDSM32,0.2738329371085694,0.2709636936589844,-0.010478080101983478,true,true,15,data/RDSM32/experimentc1r1/tree.nwk_127,13,13,407,0.8205645161290323,"(-8, 7)",0.05405405405405406
RDSM32,0.2738329371085694,0.27123743618588847,-0.009478410267541482,false,true,15,data/RDSM32/experimentc0r1/tree.nwk_10,13,14,376,0.7580645161290323,"(-8, 7)",0.08244680851063829
RDSM32,0.2738329371085694,0.270701629721167,-0.011435101344879017,true,false,15,data/RDSM32/experimentc1r0/tree.nwk_211,13,16,411,0.8286290322580645,"(-9, 7)",-0.26277372262773724
RDSM32,0.2738329371085694,0.270701629721167,-0.011435101344879017,false,false,15,data/RDSM32/experimentc0r0/tree.nwk_15,13,16,411,0.8286290322580645,"(-9, 7)",-0.26277372262773724
RDSM64,0.2622318140342039,0.260930779950415,-0.004961389176140196,true,true,15,data/RDSM64/experimentc1r1/tree.nwk_77,15,14,1545,0.7663690476190477,"(-7, 6)",0.01488673139158576
RDSM64,0.2622318140342039,0.2556427056447415,-0.025127036602061503,false,true,15,data/RDSM64/experimentc0r1/tree.nwk_211,15,16,1737,0.8616071428571429,"(-12, 10)",-0.14795624640184227
RDSM64,0.2622318140342039,0.26131048638295873,-0.003513409136257639,true,false,15,data/RDSM64/experimentc1r0/tree.nwk_178,15,14,1060,0.5257936507936508,"(-7, 5)",0.10660377358490566
RDSM64,0.2622318140342039,0.2555839930562069,-0.025350932351518307,false,false,15,data/RDSM64/experimentc0r0/tree.nwk_206,15,15,1697,0.841765873015873,"(-11, 11)",-0.09369475545079552
RDSM128,0.25491008640707347,0.25262641805245006,-0.008958721040863593,true,true,60,data/RDSM128/experimentc1r1/tree.nwk_839,19,19,6258,0.7699311023622047,"(-9, 11)",0.13023330137424097
RDSM128,0.25491008640707347,0.24913498983536553,-0.02265542589195746,false,true,60,data/RDSM128/experimentc0r1/tree.nwk_1078,19,18,7135,0.8778297244094488,"(-12, 14)",0.12249474421864051
RDSM128,0.25491008640707347,0.25319023255808953,-0.006746903871969412,true,false,60,data/RDSM128/experimentc1r0/tree.nwk_648,19,18,6220,0.765255905511811,"(-10, 10)",0.272508038585209
RDSM128,0.25491008640707347,0.24822475627878582,-0.026226228324334078,false,false,60,data/RDSM128/experimentc0r0/tree.nwk_1008,19,19,6945,0.8544537401574803,"(-12, 14)",0.1879049676025918
RDSM256,0.24803866088147736,0.24734224047028952,-0.0028077091237023177,true,true,60,data/RDSM256/experimentc1r1/tree.nwk_436,22,22,25857,0.7921875,"(-11, 9)",0.13408361372162278
RDSM256,0.24803866088147736,0.24743224867484512,-0.002444829384569247,false,true,60,data/RDSM256/experimentc0r1/tree.nwk_1012,22,22,26509,0.8121629901960784,"(-10, 13)",-0.04636161303708174
RDSM256,0.24803866088147736,0.24705107291555395,-0.003981588847535855,true,false,60,data/RDSM256/experimentc1r0/tree.nwk_1098,22,22,27071,0.8293811274509804,"(-11, 15)",0.08451848841934173
RDSM256,0.24803866088147736,0.24490423492447577,-0.01263684437685031,false,false,60,data/RDSM256/experimentc0r0/tree.nwk_764,22,22,28293,0.8668198529411765,"(-13, 16)",0.09875234156858587
RDSM512,0.2421923065704061,0.2418834172576184,-0.0012753886246915647,true,true,60,data/RDSM512/experimentc1r1/tree.nwk_1037,28,26,101570,0.7764340753424658,"(-12, 13)",0.1862459387614453
RDSM512,0.2421923065704061,0.2421923065704061,0.0,false,true,60,data/RDSM512/experimentc0r1/tree.nwk,28,28,0,0.0,"(0, 0)",NaN
RDSM512,0.2421923065704061,0.24199623790317523,-0.0008095577849162039,true,false,60,data/RDSM512/experimentc1r0/tree.nwk_929,28,28,90427,0.6912533635029354,"(-12, 10)",0.10013602132106561
RDSM512,0.2421923065704061,0.24170559752666307,-0.0020095974584624088,false,false,60,data/RDSM512/experimentc0r0/tree.nwk_595,28,24,110732,0.8464713796477495,"(-13, 14)",0.07477513275295307
RDSM1024,0.24338683663490956,0.24327685383189585,-0.000451884763097099,true,true,60,data/RDSM1024/experimentc1r1/tree.nwk_650,28,29,386733,0.7383557093108505,"(-11, 7)",-0.2344020293070413
RDSM1024,0.24338683663490956,0.24338683663490956,0.0,false,true,60,data/RDSM1024/experimentc0r1/tree.nwk,28,28,0,0.0,"(0, 0)",NaN
RDSM1024,0.24338683663490956,0.24326614306794297,-0.0004958919251152327,true,false,60,data/RDSM1024/experimentc1r0/tree.nwk_646,28,29,372128,0.71047165200391,"(-11, 8)",-0.12322104222203113
RDSM1024,0.24338683663490956,0.24271765685396354,-0.002749449354772726,false,false,60,data/RDSM1024/experimentc0r0/tree.nwk_938,28,31,459489,0.8772624175219942,"(-20, 19)",-0.49705216011699954
RDSM2048,0.24095138772842692,0.2409513531699616,-1.434250519460889e-7,true,true,60,data/RDSM2048/experimentc1r1/tree.nwk_121,35,35,1138119,0.5429625480886663,"(-2, 2)",0.16169047349178778
RDSM2048,0.24095138772842692,0.24094820342236822,-1.3215553928636048e-5,false,true,60,data/RDSM2048/experimentc0r1/tree.nwk_285,35,36,94956,0.04530066866145579,"(-7, 9)",0.6827372677871857
RDSM2048,0.24095138772842692,0.24094842372271894,-1.2301260166713845e-5,true,false,60,data/RDSM2048/experimentc1r0/tree.nwk_411,35,35,366750,0.17496546012457254,"(-10, 7)",0.5434301295160191
RDSM2048,0.24095138772842692,0.24092630005365417,-0.00010411923753272934,false,false,60,data/RDSM2048/experimentc0r0/tree.nwk_444,35,35,1374820,0.6558855184416219,"(-17, 11)",0.092881249909079
