dataset,fastme,mh,gap,time_min,K,lifted_tri,weak_bun,contraction,iterated
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,5,5,false,false,false,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,15,5,false,false,false,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,60,5,false,false,false,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,5,5,false,false,false,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,15,5,false,false,false,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,60,5,false,false,false,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,5,5,false,false,false,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,15,5,false,false,false,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,60,5,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.345960608688037,0.00012371238244442668,5,10,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.3459276762564296,0.0001377485761196283,15,10,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.3457067146152215,0.000231925053209156,60,10,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.3449519749768766,0.0005536040553677569,5,20,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.344807316173488,0.0006152593562997328,15,20,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.3441938409958705,0.0008767297667022837,60,20,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.34554767375575,0.0002997101573404153,5,30,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.3451625382494874,0.00046385948653441606,15,30,false,false,false,false
04-SeedPlants500.txt,2.34625086897285,2.3448986603259687,0.0005763273931032458,60,30,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,10,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,10,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,10,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521081876630859,0.00017417057054588028,5,20,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521081876630859,0.00017417057054588028,15,20,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521081876630859,0.00017417057054588028,60,20,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,15,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,15,false,false,false,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,15,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,10,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,10,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,10,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,20,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,20,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,20,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,30,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,30,false,false,false,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,30,false,false,false,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,10,false,false,false,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,10,false,false,false,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,10,false,false,false,false
